Sample_ID,Alloy_Type,Powder_Size_um,Powder_Morphology,Oxygen_Content_percent,Laser_Power_W,Scan_Speed_mm_s,Hatch_Spacing_mm,Layer_Thickness_um,Scan_Strategy,Preheat_Temp_C,Shielding_Gas_Flow_L_min,Melt_Pool_Width_um,Melt_Pool_Depth_um,Melt_Pool_Temp_C,Cooling_Rate_K_s,Energy_Density_J_mm3,Thermal_Gradient,Relative_Density_percent,Porosity_percent,Microhardness_HV,Surface_Roughness_Ra,Tensile_Strength_MPa,Yield_Strength_MPa,Elongation_percent,Defect_Count,Quality_Class
11,Near-Beta Ti,38.92,Spherical,0.179,210.57,836.6,0.139,24.03,Chessboard,299.63,20.15,233.35,138.85,2142.62,8352.61,58.3,27.51,98.19,3.05,383.86,3.68,1250.39,848.81,17.04,1,Moderate
12,Near-Beta Ti,21.73,Irregular,0.117,193.21,1401.87,0.087,38.38,Chessboard,189.6,15.15,242.1,117.52,2197.16,5770.12,90.07,43.82,95.64,1.83,407.59,4.03,816.31,864.79,13.84,9,Good
13,Ti-6Al-4V,47.97,Irregular,0.234,355.75,1631.8,0.08,44.23,Chessboard,246.51,23.48,232.67,61.24,1560.47,6115.54,56.07,42.82,97.68,0.8,414.35,9.82,1272.67,772.72,9.09,6,Moderate
14,Near-Beta Ti,33.22,Irregular,0.181,349.59,1225.46,0.136,57.62,Chessboard,144.33,25.02,92.86,120.95,1707.22,1468.35,61.01,35.52,97.87,3.17,385.65,7.35,815.35,915.09,5.86,4,Good
15,Ti-5553,49.79,Irregular,0.106,344.34,1449.03,0.139,49.49,Island,291.83,29.01,128.32,95.22,2178.93,8677.75,87.71,87.62,99.14,2.59,353.23,12.3,1255.07,999.24,16.05,13,Moderate
16,Ti-6Al-4V,36.5,Irregular,0.145,265.84,625.29,0.147,25.57,Island,134.8,11.47,120.6,110.18,1569.7,2205.34,62.2,71.28,98.35,3.82,321.24,2.03,1074.56,782.61,14.36,2,Good
17,Ti-5553,27.83,Spherical,0.219,366.13,1330.1,0.095,58.75,Chessboard,211.26,20.8,91.67,83.2,1831.57,3707.11,77.11,97.76,99.23,1.35,384.93,13.43,887.09,1089.54,13.21,13,Poor
18,Ti-5553,40.53,Spherical,0.117,381.56,1754.29,0.131,39.12,Chessboard,296.33,19.81,236.11,60.93,2039.42,7700.43,116.03,83.7,97.9,4.32,349.92,9.34,1217.74,772.91,14.76,5,Excellent
19,Ti-5553,25.22,Irregular,0.155,232.09,1393.22,0.116,34.79,Chessboard,257.81,16.2,232.11,42.51,1422.8,3709.0,87.58,89.47,95.68,1.97,421.33,10.87,1144.95,993.57,17.4,0,Moderate
20,Ti-5553,37.62,Irregular,0.186,206.17,1706.73,0.103,25.15,Island,298.25,25.36,146.43,121.53,1484.07,5549.73,100.07,13.68,98.75,3.15,376.09,6.46,1283.27,971.24,6.69,2,Excellent
21,Ti-6Al-4V,32.69,Irregular,0.201,266.07,1279.21,0.122,57.34,Stripe,163.54,13.89,242.98,86.93,1557.25,2387.12,96.24,11.61,98.18,4.96,333.67,2.59,965.29,745.55,9.83,11,Excellent
22,Ti-6Al-4V,56.48,Irregular,0.085,194.83,1612.05,0.118,43.45,Chessboard,97.08,16.56,175.77,66.63,1764.45,3623.81,116.22,69.55,96.74,3.48,424.58,5.48,880.48,1056.85,5.61,4,Good
23,Ti-5553,22.44,Spherical,0.163,371.0,748.99,0.1,59.52,Stripe,133.57,25.32,153.79,108.52,1412.17,7608.64,48.55,65.01,99.1,2.63,437.1,5.97,1291.32,901.74,8.33,4,Good
24,Ti-5553,47.76,Spherical,0.232,234.5,748.22,0.099,26.95,Island,290.67,19.55,173.44,127.18,1745.01,4764.47,54.7,12.22,99.42,1.42,327.52,7.07,1231.28,748.72,8.7,5,Good
25,Ti-6Al-4V,27.31,Irregular,0.244,294.04,744.22,0.114,41.83,Island,161.53,12.72,151.75,98.17,1529.21,6068.24,94.86,16.38,98.67,2.05,382.63,11.36,1183.49,809.35,16.02,7,Excellent
26,Ti-6Al-4V,32.76,Irregular,0.181,298.68,1186.62,0.113,24.4,Island,107.45,27.89,129.62,123.75,2079.79,4213.39,107.71,52.92,97.42,0.53,427.1,12.08,1016.0,823.11,12.92,1,Moderate
27,Ti-6Al-4V,36.62,Irregular,0.247,278.75,996.32,0.101,40.97,Island,210.48,24.62,110.79,77.24,1789.07,9375.71,99.72,82.0,96.55,1.33,429.85,13.82,1108.11,789.61,6.38,14,Good
28,Near-Beta Ti,56.32,Irregular,0.164,189.13,1463.02,0.098,55.59,Island,190.09,21.25,158.31,111.83,1456.97,8705.96,51.81,75.04,96.14,1.77,387.42,3.12,932.79,928.55,10.72,3,Good
29,Near-Beta Ti,29.7,Spherical,0.139,397.75,1683.15,0.147,24.37,Stripe,93.74,22.19,170.23,107.77,1770.27,2014.71,94.38,57.2,99.15,4.22,379.81,9.79,820.48,882.82,11.21,14,Moderate
30,Near-Beta Ti,23.65,Irregular,0.16,193.15,1343.25,0.14,30.79,Stripe,179.65,22.52,219.68,59.06,1784.2,9799.14,90.25,50.22,98.25,0.55,307.07,3.58,995.11,789.7,8.67,5,Moderate
31,Ti-5553,32.75,Irregular,0.073,337.88,855.85,0.137,47.3,Stripe,219.23,19.99,160.47,121.23,1639.75,8284.43,82.95,80.7,98.2,2.11,409.67,12.5,1245.54,939.85,17.11,4,Good
32,Near-Beta Ti,24.19,Spherical,0.13,347.84,1717.05,0.095,23.05,Stripe,131.19,24.89,221.0,123.62,1694.21,2425.35,85.13,38.07,96.0,2.61,327.44,6.52,1049.91,1025.71,12.65,12,Excellent
33,Ti-5553,25.14,Irregular,0.142,186.29,1233.43,0.093,38.16,Chessboard,107.38,24.31,242.29,112.24,2176.46,1374.63,88.57,75.89,97.78,4.79,432.62,3.55,800.57,1045.33,9.47,12,Excellent
34,Ti-5553,42.95,Spherical,0.22,383.29,1463.93,0.137,33.32,Island,270.26,10.06,202.65,81.75,1597.77,9037.21,54.48,92.44,99.94,1.94,418.29,7.35,846.13,880.75,17.71,9,Excellent
35,Near-Beta Ti,22.44,Irregular,0.202,271.94,1668.61,0.093,53.53,Stripe,217.6,12.21,100.35,100.08,1941.27,7819.82,66.6,27.55,97.23,4.9,449.11,9.56,1175.52,1080.19,14.59,8,Excellent
36,Ti-5553,21.24,Irregular,0.17,307.22,1787.8,0.115,21.96,Stripe,114.16,10.51,158.42,88.21,1928.84,3480.05,88.99,47.12,97.76,2.54,381.91,13.25,1161.89,773.63,16.46,8,Excellent
37,Near-Beta Ti,48.58,Spherical,0.119,310.55,1207.28,0.095,54.54,Chessboard,218.4,13.38,225.64,40.33,1737.87,9568.03,46.35,46.66,99.38,3.58,369.51,10.85,1036.22,867.98,15.11,7,Good
38,Near-Beta Ti,34.47,Irregular,0.087,276.24,1569.68,0.106,48.15,Chessboard,241.76,11.45,163.58,41.24,2145.72,9155.29,96.81,49.11,99.37,0.55,345.68,11.14,1277.52,896.33,10.56,9,Moderate
39,Ti-6Al-4V,25.02,Spherical,0.12,185.51,1280.24,0.14,31.89,Island,211.46,13.88,217.82,61.66,2015.64,2919.04,99.64,15.52,95.33,3.47,305.91,10.37,1113.47,870.6,6.09,2,Excellent
40,Near-Beta Ti,30.14,Spherical,0.186,337.94,1183.74,0.142,27.91,Island,105.55,20.77,211.9,140.43,1416.84,4592.57,51.51,74.6,99.51,0.58,395.3,5.91,1043.72,796.84,11.83,10,Excellent
41,Ti-6Al-4V,45.68,Spherical,0.103,295.45,1245.26,0.15,58.01,Chessboard,107.44,23.39,107.17,109.45,1788.5,1426.18,62.73,66.28,98.28,2.72,442.08,2.16,1286.34,984.05,9.13,0,Good
42,Near-Beta Ti,31.02,Irregular,0.135,179.67,1181.13,0.146,42.16,Chessboard,89.93,28.37,136.01,82.89,1491.19,3774.25,58.49,87.99,96.71,1.74,370.96,9.95,837.27,734.9,5.55,6,Poor
43,Near-Beta Ti,39.78,Irregular,0.127,325.08,1105.23,0.127,33.79,Chessboard,131.48,24.79,209.86,106.78,1629.51,5463.78,56.79,15.61,98.83,1.68,344.13,7.41,1074.3,937.6,8.95,11,Good
44,Ti-6Al-4V,24.87,Spherical,0.203,325.69,1468.46,0.11,21.78,Island,93.12,10.63,107.06,47.03,1590.96,1570.87,69.33,57.73,97.44,0.51,401.82,4.75,1219.39,937.63,17.07,13,Moderate
45,Ti-6Al-4V,43.52,Irregular,0.227,287.12,899.61,0.084,26.63,Chessboard,257.17,19.37,151.87,51.48,2004.44,4030.99,100.37,28.0,97.74,3.48,407.17,14.51,1243.27,781.53,6.58,1,Excellent
46,Near-Beta Ti,32.64,Irregular,0.19,172.64,1339.66,0.123,43.93,Stripe,83.39,23.51,103.35,48.9,1599.3,2357.35,72.54,71.11,98.19,2.81,407.37,7.09,940.81,782.18,11.74,14,Poor
47,Ti-5553,45.08,Irregular,0.118,238.16,1455.55,0.095,40.52,Island,207.82,16.3,120.07,129.88,2194.26,9311.81,82.79,80.52,99.03,2.02,443.7,5.31,1230.64,1029.41,6.71,11,Good
48,Ti-6Al-4V,52.34,Spherical,0.137,162.73,1670.51,0.14,50.3,Island,258.16,17.38,128.56,149.99,1502.64,8465.46,49.81,53.0,97.36,4.89,318.31,2.1,875.33,993.36,7.42,7,Excellent
49,Ti-5553,44.47,Spherical,0.079,269.4,998.25,0.118,53.39,Stripe,276.87,26.06,170.15,64.59,1729.31,7897.09,89.16,28.38,96.3,0.25,421.73,12.06,1185.34,889.24,10.85,8,Good
50,Ti-5553,31.83,Irregular,0.084,376.61,1632.72,0.131,35.89,Stripe,170.08,10.94,235.02,93.1,1791.51,7970.53,119.93,64.95,98.06,3.27,312.35,4.32,993.86,862.15,15.24,14,Moderate
51,Ti-5553,30.23,Spherical,0.083,150.56,1734.35,0.127,24.04,Island,216.6,20.79,145.54,54.59,1746.24,1129.26,98.33,22.64,99.86,2.43,405.33,7.24,1129.75,1017.19,17.97,11,Moderate
52,Ti-6Al-4V,33.1,Irregular,0.076,216.66,1378.42,0.104,51.66,Island,289.26,26.09,224.49,136.99,1474.66,6421.74,78.79,43.69,95.49,4.29,413.2,9.81,1074.36,1039.71,6.32,10,Good
53,Ti-5553,26.58,Irregular,0.086,349.96,1525.72,0.133,42.15,Chessboard,227.75,25.95,198.18,57.14,1580.6,6317.73,77.71,65.4,95.03,3.91,360.66,2.89,979.36,978.1,7.33,14,Excellent
54,Ti-6Al-4V,27.25,Irregular,0.091,152.47,1086.85,0.139,59.19,Chessboard,278.24,12.41,212.68,97.74,1816.61,9933.24,113.8,94.93,96.94,0.87,407.8,7.73,1047.16,754.74,11.32,13,Excellent
55,Ti-5553,51.63,Spherical,0.072,152.54,1742.56,0.132,51.85,Stripe,230.54,26.9,209.58,103.95,2039.86,6692.89,72.63,69.77,97.72,1.92,330.55,2.58,1148.46,840.27,9.76,13,Excellent
56,Near-Beta Ti,35.39,Spherical,0.178,302.7,1405.03,0.134,33.16,Stripe,94.96,11.55,131.36,92.87,1950.72,6855.19,98.11,67.08,97.55,3.56,304.88,7.34,1212.65,738.99,12.59,10,Poor
57,Near-Beta Ti,37.44,Irregular,0.248,347.3,972.19,0.105,37.14,Stripe,123.31,28.48,120.16,46.71,1835.59,4427.25,88.8,75.21,96.58,2.13,326.69,3.87,1253.99,999.22,12.95,7,Excellent
58,Ti-6Al-4V,43.76,Spherical,0.226,344.13,1085.11,0.146,29.42,Stripe,286.9,14.33,246.19,115.39,2182.07,5503.42,90.14,25.28,99.67,3.46,320.67,2.28,988.15,856.18,9.21,0,Good
59,Near-Beta Ti,43.59,Irregular,0.059,344.89,1341.31,0.11,40.48,Chessboard,265.74,12.3,205.43,137.43,2008.78,4557.46,46.7,76.2,96.22,4.34,425.98,4.62,852.39,743.4,16.7,1,Excellent
60,Near-Beta Ti,22.7,Spherical,0.135,240.25,880.96,0.143,48.43,Island,173.0,11.48,142.18,49.9,2093.23,9203.12,93.26,31.86,95.61,3.64,340.72,10.35,1091.3,1004.54,9.11,9,Moderate
61,Ti-5553,53.26,Spherical,0.222,370.68,1504.7,0.14,44.5,Chessboard,115.45,16.87,174.24,120.09,1410.17,2825.78,91.36,76.87,96.12,2.75,408.56,12.57,892.41,895.18,6.36,14,Moderate
62,Ti-6Al-4V,27.09,Spherical,0.077,153.21,869.63,0.089,33.68,Stripe,114.58,16.97,211.9,130.33,1572.94,2353.6,99.33,90.33,95.49,3.99,424.71,9.54,1219.86,930.03,9.17,13,Poor
63,Ti-5553,48.92,Irregular,0.22,228.05,1310.15,0.148,52.93,Chessboard,279.07,20.52,89.48,57.95,1975.88,9972.22,94.2,56.28,99.23,4.4,443.24,3.09,1211.71,725.15,9.7,2,Good
64,Ti-5553,50.91,Irregular,0.169,234.3,1436.41,0.15,24.2,Stripe,116.57,24.66,96.84,149.35,1622.64,9377.43,110.39,10.93,97.01,2.08,423.78,2.33,970.53,873.42,11.26,6,Good
65,Ti-5553,48.6,Irregular,0.236,191.39,1631.7,0.122,25.7,Chessboard,164.98,20.2,84.26,72.79,1683.18,6337.4,119.79,63.98,99.15,4.3,426.56,14.59,814.91,779.97,15.4,4,Excellent
66,Ti-5553,43.16,Spherical,0.225,234.06,1480.68,0.135,36.17,Island,278.18,29.58,107.89,74.08,1872.59,7955.13,55.28,41.02,98.19,4.04,351.58,13.88,1091.03,918.67,17.72,12,Excellent
67,Ti-5553,20.58,Irregular,0.185,296.47,1558.59,0.145,48.09,Stripe,87.36,14.21,100.29,102.41,1834.13,1998.88,111.08,59.54,97.37,2.11,343.49,12.31,1258.99,939.99,5.4,9,Poor
68,Ti-5553,34.42,Irregular,0.182,280.07,1695.52,0.081,47.77,Chessboard,218.76,14.21,158.72,130.1,1576.61,7915.16,63.37,47.61,95.51,0.38,363.03,8.89,834.11,893.87,14.06,8,Excellent
69,Ti-5553,44.19,Irregular,0.093,229.86,1317.33,0.145,34.66,Stripe,157.13,24.1,128.82,90.45,2102.95,5183.84,60.96,69.55,95.19,4.51,401.59,6.46,1128.22,766.89,6.73,5,Moderate
70,Ti-6Al-4V,35.5,Irregular,0.073,337.33,1615.54,0.124,47.86,Island,103.71,16.28,87.75,100.04,1902.22,8443.19,57.96,38.4,97.79,1.24,346.42,12.93,1287.51,1063.31,17.25,8,Excellent
71,Near-Beta Ti,54.54,Spherical,0.133,328.7,878.25,0.138,22.42,Stripe,204.86,13.43,156.41,107.87,1948.3,5640.29,83.7,43.93,96.0,4.4,304.43,12.02,1187.02,950.79,17.5,9,Good
72,Ti-5553,32.35,Spherical,0.087,220.17,1577.68,0.118,31.6,Island,186.68,25.85,178.36,127.18,2062.82,7540.77,82.15,13.42,97.22,3.55,381.77,7.39,1107.13,812.82,10.01,10,Poor
73,Ti-5553,31.74,Irregular,0.07,230.81,866.02,0.117,47.75,Chessboard,101.82,14.52,142.94,111.14,1481.95,4054.57,108.04,22.76,99.73,4.95,305.01,7.28,1212.95,967.98,7.53,0,Excellent
74,Ti-5553,30.64,Spherical,0.11,221.88,1721.56,0.143,27.36,Island,138.79,24.98,124.26,58.61,1779.23,7585.97,75.12,44.35,95.67,1.12,417.22,8.08,887.11,1008.01,6.87,9,Excellent
75,Ti-5553,33.31,Spherical,0.222,182.21,995.97,0.116,28.51,Stripe,242.88,14.13,146.38,106.02,1469.05,3446.95,102.68,10.2,98.53,1.52,318.22,3.37,1233.34,935.26,12.34,0,Moderate
76,Ti-5553,42.3,Spherical,0.053,338.2,806.21,0.113,23.48,Chessboard,246.29,28.79,168.38,63.41,1458.69,9589.33,117.94,11.23,96.06,0.55,437.15,11.37,1279.05,814.35,8.93,5,Excellent
77,Ti-5553,48.28,Spherical,0.109,161.57,777.8,0.123,34.58,Stripe,211.71,15.9,154.12,87.96,1976.98,7033.77,55.55,66.81,96.2,4.95,381.69,5.17,1247.03,1032.37,8.93,9,Moderate
78,Near-Beta Ti,46.5,Spherical,0.135,187.65,824.73,0.116,53.0,Stripe,104.31,24.99,95.86,135.23,2031.77,5306.2,46.69,50.19,98.19,3.14,395.97,14.81,849.82,756.14,13.27,0,Excellent
79,Near-Beta Ti,52.31,Irregular,0.152,176.33,1137.05,0.111,53.45,Chessboard,267.68,26.83,157.66,53.62,1441.96,6453.91,67.98,10.09,95.65,1.42,355.61,6.46,858.75,1041.53,13.32,14,Good
80,Ti-5553,55.44,Spherical,0.086,356.33,1226.58,0.093,54.49,Island,117.99,12.45,202.46,79.81,2073.97,6547.95,116.66,32.76,96.94,2.47,397.59,6.19,1270.02,715.95,17.4,1,Good
81,Near-Beta Ti,52.64,Irregular,0.243,161.0,1696.54,0.108,21.47,Island,238.61,11.36,219.4,101.77,1625.04,8691.69,102.63,67.13,96.9,4.86,338.06,10.92,1096.79,962.24,7.89,11,Excellent
82,Ti-6Al-4V,20.76,Irregular,0.166,316.16,1057.22,0.1,59.74,Chessboard,89.37,21.97,154.72,135.78,1923.93,6024.4,76.34,27.91,97.28,1.8,421.91,11.68,935.66,1054.92,5.19,9,Good
83,Ti-5553,49.44,Irregular,0.154,161.12,860.98,0.108,40.11,Chessboard,153.0,22.4,248.94,125.68,1948.53,6071.71,47.45,80.72,96.59,4.06,348.17,10.29,1191.52,903.77,6.73,10,Poor
84,Ti-6Al-4V,28.34,Spherical,0.052,346.61,1492.59,0.122,54.91,Stripe,185.24,22.46,223.29,86.64,1957.13,6280.62,63.7,35.19,96.37,0.74,395.53,8.58,869.33,1005.55,10.19,3,Good
85,Ti-6Al-4V,25.32,Spherical,0.147,378.18,761.59,0.123,56.2,Stripe,86.15,19.12,116.62,94.92,1863.61,7957.85,110.95,94.77,98.91,3.66,408.22,6.27,928.97,966.67,13.33,1,Excellent
86,Ti-5553,45.54,Spherical,0.218,271.71,1670.74,0.097,40.58,Chessboard,117.74,28.69,157.65,133.08,1490.59,5420.55,52.32,56.78,95.4,1.97,347.5,4.73,1157.87,794.07,14.57,9,Excellent
87,Near-Beta Ti,32.79,Spherical,0.094,351.14,1091.28,0.086,22.04,Chessboard,150.16,23.84,130.23,136.47,1489.36,2917.65,92.34,25.81,99.25,1.05,395.88,9.81,817.07,930.5,5.11,3,Moderate
88,Ti-6Al-4V,22.28,Irregular,0.12,326.6,1336.61,0.132,43.9,Stripe,296.15,11.48,173.54,98.14,1512.76,4762.48,89.05,20.28,99.19,4.42,356.2,4.86,968.44,813.77,5.72,0,Moderate
89,Ti-5553,25.51,Irregular,0.054,348.91,823.42,0.117,33.36,Stripe,251.48,25.7,118.1,61.9,2136.74,4379.37,64.85,23.01,99.66,2.79,381.4,7.05,863.78,1093.29,13.92,3,Good
90,Ti-6Al-4V,20.04,Irregular,0.245,341.69,774.63,0.111,28.27,Island,264.95,15.51,85.99,94.8,1568.34,1528.14,87.24,73.28,96.2,1.94,417.84,9.35,952.4,1031.56,6.28,8,Excellent
91,Ti-6Al-4V,56.13,Spherical,0.063,201.34,1558.61,0.089,27.3,Chessboard,226.85,24.46,233.74,141.95,1522.44,8198.33,98.98,24.07,99.58,2.08,409.44,9.69,1246.79,1048.53,9.05,0,Excellent
92,Ti-6Al-4V,20.98,Irregular,0.23,274.89,1115.64,0.109,42.37,Stripe,144.33,11.18,168.36,107.17,2190.77,8526.63,44.72,94.53,97.25,0.46,335.45,14.11,1049.72,1090.25,5.01,7,Moderate
93,Ti-6Al-4V,28.38,Irregular,0.113,390.1,1784.09,0.137,24.18,Island,236.08,25.33,235.54,125.05,1403.5,3405.22,103.77,38.24,98.42,2.51,405.66,4.06,842.05,736.48,5.77,3,Excellent
94,Near-Beta Ti,36.65,Irregular,0.168,235.88,1229.16,0.121,52.87,Stripe,228.22,20.86,100.09,42.06,2021.34,3915.97,76.82,15.77,99.26,3.65,421.62,8.19,890.06,799.33,15.1,10,Excellent
95,Ti-6Al-4V,34.26,Spherical,0.186,392.62,1614.78,0.086,29.09,Chessboard,214.19,24.42,105.75,109.78,2076.15,3888.53,57.77,24.54,95.31,4.13,321.51,13.23,1186.03,941.3,15.21,8,Good
96,Ti-6Al-4V,56.47,Irregular,0.078,295.79,1775.96,0.103,41.97,Island,145.63,19.89,118.5,105.83,1929.71,5655.38,83.14,40.59,95.17,4.17,306.32,5.64,856.48,700.87,17.59,9,Moderate
97,Ti-6Al-4V,21.61,Irregular,0.139,265.4,937.38,0.149,25.02,Stripe,137.91,26.02,157.71,91.92,2179.89,5221.66,44.72,21.05,96.01,4.23,366.96,8.8,1045.17,758.56,7.38,4,Moderate
98,Near-Beta Ti,40.49,Spherical,0.115,314.44,1561.06,0.118,54.39,Chessboard,153.99,28.94,229.6,114.7,1666.72,8981.23,107.33,86.27,97.8,4.26,337.06,9.93,1011.69,868.9,16.49,8,Excellent
99,Ti-6Al-4V,47.22,Irregular,0.061,353.96,626.41,0.1,47.68,Chessboard,148.73,24.85,190.57,134.97,1470.37,5442.21,119.37,96.2,98.89,2.4,314.82,10.88,929.95,994.19,7.86,12,Moderate
100,Ti-6Al-4V,57.27,Spherical,0.217,248.55,1415.7,0.144,28.26,Chessboard,97.12,24.88,89.35,142.22,1592.55,2601.2,94.21,78.16,98.88,2.22,432.45,10.29,1265.7,1040.52,10.93,11,Excellent
101,Near-Beta Ti,44.81,Irregular,0.059,158.24,1494.24,0.104,48.63,Chessboard,256.5,14.33,149.22,68.25,1479.34,7727.65,65.45,65.43,99.47,0.64,305.08,8.77,882.84,948.26,14.03,5,Excellent
102,Near-Beta Ti,52.15,Spherical,0.181,327.2,1172.84,0.131,23.32,Island,161.24,17.09,202.95,95.53,1789.63,8814.07,111.42,81.91,97.78,1.53,350.03,4.98,1073.73,749.07,10.12,8,Poor
103,Near-Beta Ti,23.35,Spherical,0.113,389.04,794.53,0.09,50.89,Stripe,235.46,12.5,134.81,73.16,2171.87,6485.31,64.95,23.9,97.8,1.2,415.89,12.27,1035.91,743.26,7.52,13,Good
104,Ti-6Al-4V,35.44,Spherical,0.088,306.25,1340.06,0.091,39.61,Stripe,141.58,20.65,163.74,86.05,1814.06,7881.21,68.92,43.95,95.39,3.09,306.04,14.09,824.79,894.71,10.19,2,Good
105,Near-Beta Ti,34.96,Irregular,0.183,197.1,1677.03,0.119,24.81,Chessboard,212.44,18.93,200.94,94.87,1660.29,3020.34,113.78,29.16,98.83,1.69,333.17,10.8,1214.5,1002.87,7.75,5,Excellent
106,Near-Beta Ti,55.45,Irregular,0.165,212.06,1717.58,0.097,42.02,Stripe,87.63,15.89,244.05,126.38,2125.04,9098.1,89.64,51.75,97.4,2.71,393.64,6.36,1000.31,736.43,6.84,12,Excellent
107,Ti-6Al-4V,26.05,Spherical,0.113,377.44,1495.32,0.083,28.03,Chessboard,103.33,11.38,136.65,140.76,1890.7,1677.4,70.42,25.81,96.04,1.95,370.06,14.96,1207.0,791.04,17.53,12,Moderate
108,Near-Beta Ti,26.08,Spherical,0.153,153.39,916.46,0.145,46.91,Stripe,160.2,28.63,206.54,104.61,2144.0,9092.4,75.37,83.46,95.63,4.46,313.16,4.95,815.32,857.25,14.97,12,Moderate
109,Ti-6Al-4V,33.14,Spherical,0.099,287.19,1644.39,0.084,48.34,Stripe,139.12,22.11,207.06,149.15,2172.14,4275.45,94.41,82.06,99.45,2.18,360.24,14.99,1007.65,944.92,6.48,4,Moderate
110,Ti-5553,22.18,Spherical,0.223,189.67,1666.59,0.13,50.43,Stripe,157.75,16.5,172.26,102.36,2149.32,1809.0,92.23,43.13,97.88,4.21,345.93,8.64,1143.02,994.54,5.74,4,Good
111,Near-Beta Ti,27.3,Spherical,0.113,220.69,1040.69,0.103,55.79,Island,284.75,16.95,218.27,128.7,1953.75,2632.53,69.09,75.08,98.09,0.3,404.87,8.95,1204.6,913.27,12.11,9,Poor
112,Ti-5553,58.61,Spherical,0.099,226.75,819.58,0.145,46.2,Chessboard,96.26,17.91,171.14,55.27,1801.46,9902.11,49.55,48.28,96.2,0.26,383.82,9.58,934.01,865.01,14.45,12,Excellent
113,Ti-6Al-4V,37.13,Spherical,0.2,204.82,1649.59,0.149,39.67,Island,181.8,26.23,186.25,40.85,1632.14,4355.9,73.68,35.64,97.75,3.68,379.24,3.74,801.58,714.33,10.49,12,Moderate
114,Near-Beta Ti,45.28,Spherical,0.054,348.09,1662.12,0.103,54.17,Stripe,123.62,14.21,222.33,42.97,2153.07,7966.94,93.6,34.8,95.8,3.58,414.02,11.07,1037.06,821.36,12.08,3,Excellent
115,Ti-6Al-4V,49.04,Spherical,0.104,233.05,721.09,0.121,55.99,Island,158.28,27.13,160.97,138.12,1836.0,5294.67,61.27,54.12,97.09,0.21,331.72,8.05,819.37,852.1,15.16,14,Poor
116,Ti-5553,34.68,Spherical,0.125,236.37,1760.38,0.134,51.27,Island,228.95,16.23,161.25,48.22,2196.31,6190.62,110.74,11.1,96.23,2.49,393.06,6.03,1268.84,737.47,15.4,1,Excellent
